ELAN Touchpad 11.15.0.18_X64                                                                         - X64 - 11.15.0.18
Security Update for Microsoft Office 2013 (KB3213564) 64-Bit Edition                                 - X64 - 
Security Update for Microsoft Office 2013 (KB4461445) 64-Bit Edition                                 - X64 - 
Update for Microsoft Office 2013 (KB4018333) 64-Bit Edition                                          - X64 - 
Update for Microsoft Visio Viewer 2013 (KB2817301) 64-Bit Edition                                    - X64 - 
Security Update for Microsoft Office 2013 (KB4022188) 64-Bit Edition                                 - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Update for Microsoft InfoPath 2013 (KB3114946) 64-Bit Edition                                        - X64 - 
Security Update for Microsoft Office 2013 (KB3172459) 64-Bit Edition                                 - X64 - 
Microsoft DCF MUI (English) 2013                                                                     - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Office 2013 (KB3162051) 64-Bit Edition                                 - X64 - 
Microsoft OneNote MUI (English) 2013                                                                 - X64 - 15.0.4569.1506
Update for Microsoft OneNote 2013 (KB4011281) 64-Bit Edition                                         - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Groove MUI (English) 2013                                                                  - X64 - 15.0.4569.1506
Update for Microsoft OneDrive for Business (KB4022226) 64-Bit Edition                                - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Office 32-bit Components 2013                                                              - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3172545) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Office 2013 (KB3039798) 64-Bit Edition                                 - X64 - 
Update for Microsoft OneDrive for Business (KB4022226) 64-Bit Edition                                - X64 - 
Security Update for Microsoft Access 2013 (KB4018351) 64-Bit Edition                                 - X64 - 
Update for Microsoft Publisher 2013 (KB3114329) 64-Bit Edition                                       - X64 - 
Update for Microsoft Visio 2013 (KB4011149) 64-Bit Edition                                           - X64 - 
Security Update for Microsoft Office 2013 (KB4461445) 64-Bit Edition                                 - X64 - 
Update for Microsoft OneNote 2013 (KB4011281) 64-Bit Edition                                         - X64 - 
Update for Microsoft Office 2013 (KB4018333) 64-Bit Edition                                          - X64 - 
Update for Microsoft Project 2013 (KB4022227) 64-Bit Edition                                         - X64 - 
Update for Microsoft Office 2013 (KB3172533) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Excel 2013 (KB4461460) 64-Bit Edition                                  - X64 - 
Security Update for Microsoft PowerPoint 2013 (KB4092453) 64-Bit Edition                             - X64 - 
Update for Skype for Business 2015 (KB4461446) 64-Bit Edition                                        - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Update for Microsoft InfoPath 2013 (KB3114946) 64-Bit Edition                                        - X64 - 
Security Update for Microsoft Word 2013 (KB4461457) 64-Bit Edition                                   - X64 - 
Microsoft Office Shared 32-bit MUI (English) 2013                                                    - X64 - 15.0.4569.1506
Update for Microsoft OneDrive for Business (KB4022226) 64-Bit Edition                                - X64 - 
